RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
19832,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.255334,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62946,-0.819476,52.5949,72.9053,-0.951805,-0.0105992,-4.64769,-0.0476091,40,0,0,0,0
19833,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.254917,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62881,-0.818644,52.4958,72.9078,-0.956476,-0.0106157,-4.64738,-0.0473627,40,0,0,0,0
19834,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.251792,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62825,-0.965286,52.7575,74.7063,-1.00664,-0.0116285,-4.64765,-0.0477676,40,0,0,0,0
19835,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.251526,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62778,-0.964615,52.7784,74.7037,-1.00581,-0.0115205,-4.64785,-0.0477646,40,0,0,0,0
19836,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.248549,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62709,-1.14612,52.9259,76.4876,-1.09137,-0.0130244,-4.64783,-0.0480796,40,0,0,0,0
19837,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.248467,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62678,-1.14664,53.065,76.4912,-1.08588,-0.0128703,-4.64783,-0.0480796,40,0,0,0,0
19838,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.244921,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62649,-1.38426,53.1499,78.2942,-1.18555,-0.0147588,-4.64821,-0.0479146,40,0,0,0,0
19839,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.24416,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62559,-1.3849,53.1944,78.295,-1.19589,-0.0145321,-4.648,-0.0479438,40,0,0,0,0

19841,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,-0.0107736,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62366,-1.70348,53.7544,80.0883,-1.34527,-0.0172002,-4.64813,-0.0472043,40,0,0,0,0
19842,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.24121,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62424,-1.70271,53.3465,80.087,-1.3089,-0.016838,-4.64831,-0.0472349,40,0,0,0,0
19844,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.237833,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62023,-2.15669,54.3531,81.8743,-1.54766,-0.0205864,-4.6482,-0.0453436,40,0,0,0,0

19845,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.281754,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.6238,-0.117752,51.4937,54.0633,-0.671225,-0.00611931,-4.64542,-0.0427623,40,0,0,0,0
19846,019807,gear_desy2015_06c.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.281663,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.62394,-0.117352,51.5208,54.0593,-0.676534,-0.00616385,-4.6454,-0.0429528,40,0,0,0,0
